name,iso_country,municipality,iata_code
Utirik Airport,MH,Utirik Island,UTK
Ocean Reef Club Airport,US,Key Largo,OCA
Pilot Station Airport,US,Pilot Station,PQS
Crested Butte Airpark,US,Crested Butte,CSE
LBJ Ranch Airport,US,Johnson City,JCY
Metropolitan Airport,US,Palmer,PMX
Loring Seaplane Base,US,Loring,WLR
Nunapitchuk Airport,US,Nunapitchuk,NUP
Port Alice Seaplane Base,US,Port Alice,PTC
Icy Bay Airport,US,Icy Bay,ICY
Port Protection Seaplane Base,US,Port Protection,PPV
Kalakaket Creek AS Airport,US,Kalakaket Creek,KKK
Dunsmuir Muni-Mott Airport,US,Dunsmuir,MHS
Chase Field Industrial Airport,US,Beeville,NIR
Grand Canyon Bar Ten Airstrip,US,Whitmore,GCT
Ellamar Seaplane Base,US,Ellamar,ELW
Lime Village Airport,US,Lime Village,LVD
Hog River Airport,US,Hogatza,HGZ
Ed-Air Airport,US,Oaktown,OTN
Telida Airport,US,Telida,TLF
Eagle Air Park,US,Brazoria,BZT
Entrance Island Seaplane Base,US,Entrance Island,HBH
False Island Seaplane Base,US,False Island,FAK
Blakely Island Airport,US,Blakely Island,BYW
Drift River Airport,US,Kenai,DRF
Rinkenberger Restricted Landing Area,US,Bradford,BDF
Roy Otten Memorial Airfield,US,Versailles,VRS
Golden Horn Lodge Seaplane Base,US,Golden Horn Lodge,GDH
Atmautluak Airport,US,Atmautluak,ATT
Livengood Camp Airport,US,Livengood,LIV
Pedro Bay Airport,US,Pedro Bay,PDB
Ouzinkie Airport,US,Ouzinkie,KOZ
Tununak Airport,US,Tununak,TNK
Ben Bruce Memorial Airpark,US,Evadale,EVA
Hyder Seaplane Base,US,Hyder,WHD
Minto Al Wright Airport,US,Minto,MNT
Tokeen Seaplane Base,US,Tokeen,TKI
Aleknagik / New Airport,US,Aleknagik,WKK
Ketchikan Harbor Seaplane Base,US,Ketchikan,WFB
Naknek Airport,US,Naknek,NNK
Lake Brooks Seaplane Base,US,Katmai National Park,BKF
Southern Seaplane Airport,US,Belle Chasse,BCS
Catalina Air-Sea Terminal Heliport,US,San Pedro,SPQ
East 34th Street Heliport,US,New York,TSS
New York Skyports Inc Seaplane Base,US,New York,QNY
Earl Henry Airport,US,Blackwell,BWL
Yes Bay Lodge Seaplane Base,US,Yes Bay,WYB
Center Island Airport,US,Center Island,CWS
Tatitlek Airport,US,Tatitlek,TEK
Pine Island Airport,US,Corolla,DUF
